region,date,strain,share
1,2022-02-19,0,0.930665386516093
1,2022-02-19,1,0.0693346134839073
1,2022-02-19,2,0
1,2022-02-19,3,0
1,2022-02-19,4,0
1,2022-03-05,0,0.826157567991614
1,2022-03-05,1,0.173842432008387
1,2022-03-05,2,0
1,2022-03-05,3,0
1,2022-03-05,4,0
1,2022-03-19,0,0.524496882828767
1,2022-03-19,1,0.475503117171233
1,2022-03-19,2,0
1,2022-03-19,3,0
1,2022-03-19,4,0
1,2022-04-02,0,0.24719138414461
1,2022-04-02,1,0.75280861585539
1,2022-04-02,2,0
1,2022-04-02,3,0
1,2022-04-02,4,0
1,2022-04-16,0,0.0879447858144029
1,2022-04-16,1,0.912055214185597
1,2022-04-16,2,0
1,2022-04-16,3,0
1,2022-04-16,4,0
1,2022-04-30,0,0.0263515242494049
1,2022-04-30,1,0.973648475750595
1,2022-04-30,2,0
1,2022-04-30,3,0
1,2022-04-30,4,0
1,2022-05-14,0,0.00525447845759929
1,2022-05-14,1,0.994745521542401
1,2022-05-14,2,0
1,2022-05-14,3,0
1,2022-05-14,4,0
1,2022-05-28,0,0.00161915000846489
1,2022-05-28,1,0.998380849991535
1,2022-05-28,2,0
1,2022-05-28,3,0
1,2022-05-28,4,0
1,2022-06-11,0,0.00150598595450685
1,2022-06-11,1,0.998494014045493
1,2022-06-11,2,0
1,2022-06-11,3,0
1,2022-06-11,4,0
1,2022-06-25,0,0
1,2022-06-25,1,0.999595331615459
1,2022-06-25,2,0.000404668384541415
1,2022-06-25,3,0
1,2022-06-25,4,0
1,2022-07-09,0,0.000786645466120577
1,2022-07-09,1,0.998298896948248
1,2022-07-09,2,0.000914457585631578
1,2022-07-09,3,0
1,2022-07-09,4,0
1,2022-07-23,0,0.000865170976414774
1,2022-07-23,1,0.999134829023585
1,2022-07-23,2,0
1,2022-07-23,3,0
1,2022-07-23,4,0
1,2022-08-06,0,0.000389179137661311
1,2022-08-06,1,0.998193870222414
1,2022-08-06,2,0.00141695063992463
1,2022-08-06,3,0
1,2022-08-06,4,0
1,2022-08-20,0,0
1,2022-08-20,1,0.998171532233683
1,2022-08-20,2,0.00182846776631755
1,2022-08-20,3,0
1,2022-08-20,4,0
1,2022-09-03,0,0.00148461898485469
1,2022-09-03,1,0.994331654773672
1,2022-09-03,2,0.00418372624147321
1,2022-09-03,3,0
1,2022-09-03,4,0
1,2022-09-17,0,0
1,2022-09-17,1,0.985661136747754
1,2022-09-17,2,0.0143388632522459
1,2022-09-17,3,0
1,2022-09-17,4,0
1,2022-10-01,0,0.000441393095695111
1,2022-10-01,1,0.974900013419567
1,2022-10-01,2,0.0246585934847378
1,2022-10-01,3,0
1,2022-10-01,4,0
1,2022-10-15,0,0.000493167447834906
1,2022-10-15,1,0.922914945810914
1,2022-10-15,2,0.0765918867412513
1,2022-10-15,3,0
1,2022-10-15,4,0
1,2022-10-29,0,0
1,2022-10-29,1,0.81739112723373
1,2022-10-29,2,0.18260887276627
1,2022-10-29,3,0
1,2022-10-29,4,0
1,2022-11-12,0,0.000698285055577665
1,2022-11-12,1,0.685573328158028
1,2022-11-12,2,0.313728386786394
1,2022-11-12,3,0
1,2022-11-12,4,0
