region,date,strain,share
3,2022-02-19,0,0.967054923389688
3,2022-02-19,1,0.0328203015299541
3,2022-02-19,2,0.00012477508035805
3,2022-02-19,3,0
3,2022-02-19,4,0
3,2022-03-05,0,0.886917819285896
3,2022-03-05,1,0.112867077572464
3,2022-03-05,2,0.000215103141640316
3,2022-03-05,3,0
3,2022-03-05,4,0
3,2022-03-19,0,0.646274090868639
3,2022-03-19,1,0.353725909131361
3,2022-03-19,2,0
3,2022-03-19,3,0
3,2022-03-19,4,0
3,2022-04-02,0,0.279119142418202
3,2022-04-02,1,0.720880857581798
3,2022-04-02,2,0
3,2022-04-02,3,0
3,2022-04-02,4,0
3,2022-04-16,0,0.0730861246113528
3,2022-04-16,1,0.926913875388647
3,2022-04-16,2,0
3,2022-04-16,3,0
3,2022-04-16,4,0
3,2022-04-30,0,0.0215678062855251
3,2022-04-30,1,0.978432193714475
3,2022-04-30,2,0
3,2022-04-30,3,0
3,2022-04-30,4,0
3,2022-05-14,0,0.00408347498407751
3,2022-05-14,1,0.995916525015923
3,2022-05-14,2,0
3,2022-05-14,3,0
3,2022-05-14,4,0
3,2022-05-28,0,0.00177417641217014
3,2022-05-28,1,0.99822582358783
3,2022-05-28,2,0
3,2022-05-28,3,0
3,2022-05-28,4,0
3,2022-06-11,0,0.000147455732699003
3,2022-06-11,1,0.999852544267301
3,2022-06-11,2,0
3,2022-06-11,3,0
3,2022-06-11,4,0
3,2022-06-25,0,0.000645790480955249
3,2022-06-25,1,0.999354209519045
3,2022-06-25,2,0
3,2022-06-25,3,0
3,2022-06-25,4,0
3,2022-07-09,0,9.46352960066701e-05
3,2022-07-09,1,0.99922509349652
3,2022-07-09,2,0.000680271207473869
3,2022-07-09,3,0
3,2022-07-09,4,0
3,2022-07-23,0,0.000313745846141797
3,2022-07-23,1,0.999333639009998
3,2022-07-23,2,0.000352615143859879
3,2022-07-23,3,0
3,2022-07-23,4,0
3,2022-08-06,0,0
3,2022-08-06,1,0.998127098271607
3,2022-08-06,2,0.00187290172839273
3,2022-08-06,3,0
3,2022-08-06,4,0
3,2022-08-20,0,0.00023304982686711
3,2022-08-20,1,0.997361216489714
3,2022-08-20,2,0.00240573368341853
3,2022-08-20,3,0
3,2022-08-20,4,0
3,2022-09-03,0,0
3,2022-09-03,1,0.994119264292666
3,2022-09-03,2,0.00588073570733423
3,2022-09-03,3,0
3,2022-09-03,4,0
3,2022-09-17,0,0.000111973162763299
3,2022-09-17,1,0.981907519424196
3,2022-09-17,2,0.0179805074130402
3,2022-09-17,3,0
3,2022-09-17,4,0
3,2022-10-01,0,0.000339052746730556
3,2022-10-01,1,0.961433444569876
3,2022-10-01,2,0.0382275026833937
3,2022-10-01,3,0
3,2022-10-01,4,0
3,2022-10-15,0,0
3,2022-10-15,1,0.914814228121982
3,2022-10-15,2,0.0851857718780179
3,2022-10-15,3,0
3,2022-10-15,4,0
3,2022-10-29,0,0
3,2022-10-29,1,0.818696139895064
3,2022-10-29,2,0.181303860104936
3,2022-10-29,3,0
3,2022-10-29,4,0
3,2022-11-12,0,0.000506717615959262
3,2022-11-12,1,0.643488069928283
3,2022-11-12,2,0.356005212455758
3,2022-11-12,3,0
3,2022-11-12,4,0
3,2022-11-26,0,0.000286238993466467
3,2022-11-26,1,0.44075545379679
3,2022-11-26,2,0.558958307209744
3,2022-11-26,3,0
3,2022-11-26,4,0
3,2022-12-10,0,0
3,2022-12-10,1,0.282293915333305
3,2022-12-10,2,0.717706084666695
3,2022-12-10,3,0
3,2022-12-10,4,0
3,2022-12-24,0,0.000383851278649156
3,2022-12-24,1,0.224725747527547
3,2022-12-24,2,0.774230090241323
3,2022-12-24,3,0.000660310952481283
3,2022-12-24,4,0
3,2023-01-07,0,0
3,2023-01-07,1,0.111423709892782
3,2023-01-07,2,0.887535886300575
3,2023-01-07,3,0.00104040380664278
3,2023-01-07,4,0
3,2023-01-21,0,0.000339453766841714
3,2023-01-21,1,0.0730450429006408
3,2023-01-21,2,0.925577152467829
3,2023-01-21,3,0.00103835086468883
3,2023-01-21,4,0
3,2023-02-04,0,0
3,2023-02-04,1,0.0250093519552778
3,2023-02-04,2,0.972745427755178
3,2023-02-04,3,0.00224522028954421
3,2023-02-04,4,0
3,2023-02-18,0,0.000538630120092741
