date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,70.670003341174,64,0.70670003341174
2022-02-15,50-64,67.6132656236962,98,0.676132656236962
2022-02-15,65+,52.8559474319987,57,0.528559474319987
2022-04-02,0-17,85.1,279,
2022-04-02,18-49,,,
2022-04-02,50-64,,,
2022-04-02,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,70.1011689232643,67,0.70670003341174
2022-05-15,50-64,69.7597826009582,107,0.676132656236962
2022-05-15,65+,61.7168433657635,67,0.528559474319987
2022-05-28,0-17,84.5,257,
2022-05-28,18-49,,,
2022-05-28,50-64,,,
2022-05-28,65+,,,
2022-07-23,0-17,92.7,250,
2022-07-23,18-49,,,
2022-07-23,50-64,,,
2022-07-23,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,84.9630783863877,62,0.70670003341174
2022-08-15,50-64,84.2652659159435,118,0.676132656236962
2022-08-15,65+,73.9708007387808,83,0.528559474319987
2022-09-17,0-17,93.3,233,
2022-09-17,18-49,,,
2022-09-17,50-64,,,
2022-09-17,65+,,,
2022-11-12,0-17,98.1,194,
2022-11-12,18-49,,,
2022-11-12,50-64,,,
2022-11-12,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,91.9120635670718,68,0.70670003341174
2022-11-15,50-64,91.4841120766515,110,0.676132656236962
2022-11-15,65+,81.2981999733092,87,0.528559474319987
