date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,62.1744832529903,12267,0.621744832529903
2022-02-15,50-64,53.3110982393971,14715,0.533110982393971
2022-02-15,65+,39.4458669290896,7634,0.394458669290896
2022-04-03,0-17,77,28311,
2022-04-03,18-49,,,
2022-04-03,50-64,,,
2022-04-03,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,73.8900835837037,14236,0.621744832529903
2022-05-15,50-64,61.4462922662194,17137,0.533110982393971
2022-05-15,65+,47.2589033127327,9427,0.394458669290896
2022-05-30,0-17,79.7,26702,
2022-05-30,18-49,,,
2022-05-30,50-64,,,
2022-05-30,65+,,,
2022-07-24,0-17,86.3,27553,
2022-07-24,18-49,,,
2022-07-24,50-64,,,
2022-07-24,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,82.2181255846569,15554,0.621744832529903
2022-08-15,50-64,74.4440208875876,19786,0.533110982393971
2022-08-15,65+,61.8359635475293,11967,0.394458669290896
2022-09-19,0-17,90.3,26286,
2022-09-19,18-49,,,
2022-09-19,50-64,,,
2022-09-19,65+,,,
2022-11-14,0-17,91.9,26842,
2022-11-14,18-49,,,
2022-11-14,50-64,,,
2022-11-14,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,87.7776062035852,15764,0.621744832529903
2022-11-15,50-64,80.9225009080537,20775,0.533110982393971
2022-11-15,65+,70.6459909485979,13431,0.394458669290896
