date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,61.5046408486782,237,0.615046408486782
2022-02-15,50-64,48.9085943117835,462,0.489085943117835
2022-02-15,65+,35.3965895404974,303,0.353965895404974
2022-04-02,0-17,83.4,676,
2022-04-02,18-49,,,
2022-04-02,50-64,,,
2022-04-02,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,70.107889424748,296,0.615046408486782
2022-05-15,50-64,63.3756285150617,583,0.489085943117835
2022-05-15,65+,45.0429332590224,408,0.353965895404974
2022-05-28,0-17,85.1,691,
2022-05-28,18-49,,,
2022-05-28,50-64,,,
2022-05-28,65+,,,
2022-07-23,0-17,87.4,670,
2022-07-23,18-49,,,
2022-07-23,50-64,,,
2022-07-23,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,78.7111200908733,325,0.615046408486782
2022-08-15,50-64,68.4120382877005,625,0.489085943117835
2022-08-15,65+,55.5957720620544,488,0.353965895404974
2022-09-17,0-17,91.7,670,
2022-09-17,18-49,,,
2022-09-17,50-64,,,
2022-09-17,65+,,,
2022-11-12,0-17,93.9,674,
2022-11-12,18-49,,,
2022-11-12,50-64,,,
2022-11-12,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,81.5853847525293,334,0.615046408486782
2022-11-15,50-64,80.0015703954574,708,0.489085943117835
2022-11-15,65+,68.1365726132822,582,0.353965895404974
