date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,73.1671802170318,547,0.731671802170318
2022-02-15,50-64,63.576098390456,456,0.63576098390456
2022-02-15,65+,46.8557500417025,170,0.468557500417025
2022-04-02,0-17,81.9,668,
2022-04-02,18-49,,,
2022-04-02,50-64,,,
2022-04-02,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,78.663134208892,554,0.731671802170318
2022-05-15,50-64,72.3916010875954,494,0.63576098390456
2022-05-15,65+,58.0146108681578,209,0.468557500417025
2022-05-29,0-17,81.1,651,
2022-05-29,18-49,,,
2022-05-29,50-64,,,
2022-05-29,65+,,,
2022-07-23,0-17,90.7,670,
2022-07-23,18-49,,,
2022-07-23,50-64,,,
2022-07-23,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,89.7206529706966,593,0.731671802170318
2022-08-15,50-64,80.7145598630875,556,0.63576098390456
2022-08-15,65+,67.7998242163544,213,0.468557500417025
2022-09-17,0-17,93.5,674,
2022-09-17,18-49,,,
2022-09-17,50-64,,,
2022-09-17,65+,,,
2022-11-12,0-17,93.7,670,
2022-11-12,18-49,,,
2022-11-12,50-64,,,
2022-11-12,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,90.9367877245404,607,0.731671802170318
2022-11-15,50-64,84.3237052216099,535,0.63576098390456
2022-11-15,65+,75.4217481189273,236,0.468557500417025
