date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,50.9614228381065,229,0.509614228381065
2022-02-15,50-64,37.7535308943329,288,0.377535308943329
2022-02-15,65+,23.019896035301,169,0.23019896035301
2022-04-02,0-17,73.5,703,
2022-04-02,18-49,,,
2022-04-02,50-64,,,
2022-04-02,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,60.9041849554302,283,0.509614228381065
2022-05-15,50-64,44.6752063759663,354,0.377535308943329
2022-05-15,65+,34.2233044127889,219,0.23019896035301
2022-05-28,0-17,76.4,462,
2022-05-28,18-49,,,
2022-05-28,50-64,,,
2022-05-28,65+,,,
2022-07-25,0-17,81.8,606,
2022-07-25,18-49,,,
2022-07-25,50-64,,,
2022-07-25,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,75.2735812978912,337,0.509614228381065
2022-08-15,50-64,59.6026474407181,450,0.377535308943329
2022-08-15,65+,47.7733690002793,264,0.23019896035301
2022-09-18,0-17,91.7,537,
2022-09-18,18-49,,,
2022-09-18,50-64,,,
2022-09-18,65+,,,
2022-11-09,0-17,90.3,650,
2022-11-09,18-49,,,
2022-11-09,50-64,,,
2022-11-09,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,78.3355642165196,336,0.509614228381065
2022-11-15,50-64,64.8642045044212,487,0.377535308943329
2022-11-15,65+,51.1736028013017,295,0.23019896035301
