date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,49.8636503344837,961,0.498636503344837
2022-02-15,50-64,43.1991212908501,891,0.431991212908501
2022-02-15,65+,29.7105230451106,377,0.297105230451106
2022-04-02,0-17,77.8,688,
2022-04-02,18-49,,,
2022-04-02,50-64,,,
2022-04-02,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,61.5932430377813,1109,0.498636503344837
2022-05-15,50-64,52.6731380866403,1024,0.431991212908501
2022-05-15,65+,37.7310472339208,484,0.297105230451106
2022-05-28,0-17,79.7,645,
2022-05-28,18-49,,,
2022-05-28,50-64,,,
2022-05-28,65+,,,
2022-07-23,0-17,87.5,722,
2022-07-23,18-49,,,
2022-07-23,50-64,,,
2022-07-23,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,74.336151942536,1256,0.498636503344837
2022-08-15,50-64,67.2162692239044,1244,0.431991212908501
2022-08-15,65+,52.1842993466374,661,0.297105230451106
2022-09-17,0-17,91.3,657,
2022-09-17,18-49,,,
2022-09-17,50-64,,,
2022-09-17,65+,,,
2022-11-11,0-17,90.4,683,
2022-11-11,18-49,,,
2022-11-11,50-64,,,
2022-11-11,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,83.009540152571,1257,0.498636503344837
2022-11-15,50-64,73.4859115236973,1284,0.431991212908501
2022-11-15,65+,61.0567069764582,702,0.297105230451106
