date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,62.4660335283726,389,0.624660335283726
2022-02-15,50-64,59.7850472452823,543,0.597850472452823
2022-02-15,65+,49.8081566673876,330,0.498081566673876
2022-04-02,0-17,73.7,686,
2022-04-02,18-49,,,
2022-04-02,50-64,,,
2022-04-02,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,72.5827239204119,492,0.624660335283726
2022-05-15,50-64,67.5618749500513,655,0.597850472452823
2022-05-15,65+,63.3415489543122,432,0.498081566673876
2022-05-28,0-17,81.6,674,
2022-05-28,18-49,,,
2022-05-28,50-64,,,
2022-05-28,65+,,,
2022-07-24,0-17,88,659,
2022-07-24,18-49,,,
2022-07-24,50-64,,,
2022-07-24,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,82.6245895293828,520,0.624660335283726
2022-08-15,50-64,76.9865501456854,725,0.597850472452823
2022-08-15,65+,71.9221113983992,525,0.498081566673876
2022-09-17,0-17,84.5,655,
2022-09-17,18-49,,,
2022-09-17,50-64,,,
2022-09-17,65+,,,
2022-11-12,0-17,90.5,646,
2022-11-12,18-49,,,
2022-11-12,50-64,,,
2022-11-12,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,86.3609725742921,518,0.624660335283726
2022-11-15,50-64,82.0226180270578,763,0.597850472452823
2022-11-15,65+,81.8766157906748,607,0.498081566673876
