date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,52.8180694708635,369,0.528180694708635
2022-02-15,50-64,43.7530748199405,321,0.437530748199405
2022-02-15,65+,30.4711905522945,148,0.304711905522945
2022-04-02,0-17,75.4,615,
2022-04-02,18-49,,,
2022-04-02,50-64,,,
2022-04-02,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,64.6012743001621,429,0.528180694708635
2022-05-15,50-64,53.5246630252966,383,0.437530748199405
2022-05-15,65+,40.6569703790938,178,0.304711905522945
2022-05-29,0-17,77.8,645,
2022-05-29,18-49,,,
2022-05-29,50-64,,,
2022-05-29,65+,,,
2022-07-24,0-17,83.9,667,
2022-07-24,18-49,,,
2022-07-24,50-64,,,
2022-07-24,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,75.7236092412955,472,0.528180694708635
2022-08-15,50-64,66.2911968837254,444,0.437530748199405
2022-08-15,65+,52.5409732491258,229,0.304711905522945
2022-09-18,0-17,88.2,661,
2022-09-18,18-49,,,
2022-09-18,50-64,,,
2022-09-18,65+,,,
2022-11-13,0-17,94.1,632,
2022-11-13,18-49,,,
2022-11-13,50-64,,,
2022-11-13,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,83.5240434130429,532,0.528180694708635
2022-11-15,50-64,73.3733142658766,485,0.437530748199405
2022-11-15,65+,60.5436958283627,250,0.304711905522945
