date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,29.0840059887368,18,0.290840059887368
2022-02-15,50-64,26.4079786147188,21,0.264079786147188
2022-02-15,65+,20.4910247513037,18,0.204910247513037
2022-04-02,0-17,51.4,133,
2022-04-02,18-49,,,
2022-04-02,50-64,,,
2022-04-02,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,57.6742081987527,31,0.290840059887368
2022-05-15,50-64,35.4903326324424,29,0.264079786147188
2022-05-15,65+,32.2963685930956,26,0.204910247513037
2022-05-28,0-17,51.8,128,
2022-05-28,18-49,,,
2022-05-28,50-64,,,
2022-05-28,65+,,,
2022-07-23,0-17,78,127,
2022-07-23,18-49,,,
2022-07-23,50-64,,,
2022-07-23,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,69.114412826151,34,0.290840059887368
2022-08-15,50-64,54.5163491425132,44,0.264079786147188
2022-08-15,65+,44.2552291326365,37,0.204910247513037
2022-09-17,0-17,81.5,116,
2022-09-17,18-49,,,
2022-09-17,50-64,,,
2022-09-17,65+,,,
2022-11-12,0-17,89,144,
2022-11-12,18-49,,,
2022-11-12,50-64,,,
2022-11-12,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,74.1776799015123,32,0.290840059887368
2022-11-15,50-64,64.2937654358056,49,0.264079786147188
2022-11-15,65+,51.6081192853188,42,0.204910247513037
