date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,68.3118300688393,258,0.683118300688393
2022-02-15,50-64,61.7156593281565,499,0.617156593281565
2022-02-15,65+,49.7207773035544,289,0.497207773035544
2022-04-02,0-17,80.8,445,
2022-04-02,18-49,,,
2022-04-02,50-64,,,
2022-04-02,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,79.6954890915844,308,0.683118300688393
2022-05-15,50-64,66.4148890634301,541,0.617156593281565
2022-05-15,65+,56.2842943476432,351,0.497207773035544
2022-05-29,0-17,81.2,419,
2022-05-29,18-49,,,
2022-05-29,50-64,,,
2022-05-29,65+,,,
2022-07-24,0-17,83.2,374,
2022-07-24,18-49,,,
2022-07-24,50-64,,,
2022-07-24,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,88.5500477897497,363,0.683118300688393
2022-08-15,50-64,77.778077517641,603,0.617156593281565
2022-08-15,65+,68.3309691122893,436,0.497207773035544
2022-09-18,0-17,90.5,390,
2022-09-18,18-49,,,
2022-09-18,50-64,,,
2022-09-18,65+,,,
2022-11-14,0-17,91.3,353,
2022-11-14,18-49,,,
2022-11-14,50-64,,,
2022-11-14,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,91.0931861448133,350,0.683118300688393
2022-11-15,50-64,83.8200512017401,632,0.617156593281565
2022-11-15,65+,77.5849229374795,506,0.497207773035544
