date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,68.271815610977,232,0.68271815610977
2022-02-15,50-64,64.9603837372724,269,0.649603837372724
2022-02-15,65+,53.8289068553065,173,0.538289068553065
2022-04-02,0-17,85.1,367,
2022-04-02,18-49,,,
2022-04-02,50-64,,,
2022-04-02,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,80.8886930836816,272,0.68271815610977
2022-05-15,50-64,69.4856994387026,297,0.649603837372724
2022-05-15,65+,61.3592281262374,212,0.538289068553065
2022-05-29,0-17,89.6,241,
2022-05-29,18-49,,,
2022-05-29,50-64,,,
2022-05-29,65+,,,
2022-07-23,0-17,88.8,249,
2022-07-23,18-49,,,
2022-07-23,50-64,,,
2022-07-23,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,86.1909048745666,298,0.68271815610977
2022-08-15,50-64,77.9504011692601,312,0.649603837372724
2022-08-15,65+,70.224542443764,248,0.538289068553065
2022-09-17,0-17,96.9,223,
2022-09-17,18-49,,,
2022-09-17,50-64,,,
2022-09-17,65+,,,
2022-11-13,0-17,98.2,244,
2022-11-13,18-49,,,
2022-11-13,50-64,,,
2022-11-13,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,89.4870673432626,302,0.68271815610977
2022-11-15,50-64,82.8429653407835,331,0.649603837372724
2022-11-15,65+,73.9681047783696,267,0.538289068553065
