date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,65.9773433112123,608,0.659773433112123
2022-02-15,50-64,53.7776001190695,498,0.537776001190695
2022-02-15,65+,35.1718260939337,232,0.351718260939337
2022-04-05,0-17,79,687,
2022-04-05,18-49,,,
2022-04-05,50-64,,,
2022-04-05,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,75.2127233635689,681,0.659773433112123
2022-05-15,50-64,65.315719857921,574,0.537776001190695
2022-05-15,65+,43.0974290010389,278,0.351718260939337
2022-05-26,0-17,79.9,588,
2022-05-26,18-49,,,
2022-05-26,50-64,,,
2022-05-26,65+,,,
2022-07-24,0-17,90.4,672,
2022-07-24,18-49,,,
2022-07-24,50-64,,,
2022-07-24,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,88.3829080452735,729,0.659773433112123
2022-08-15,50-64,78.2249564373245,659,0.537776001190695
2022-08-15,65+,59.396717866385,348,0.351718260939337
2022-09-19,0-17,92.7,670,
2022-09-19,18-49,,,
2022-09-19,50-64,,,
2022-09-19,65+,,,
2022-11-13,0-17,93.5,668,
2022-11-13,18-49,,,
2022-11-13,50-64,,,
2022-11-13,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,90.4199242465881,699,0.659773433112123
2022-11-15,50-64,85.2070447001385,671,0.537776001190695
2022-11-15,65+,65.7371012217798,355,0.351718260939337
