date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,66.7343159841171,134,0.667343159841171
2022-02-15,50-64,56.7613077880166,141,0.567613077880166
2022-02-15,65+,43.5606471101313,74,0.435606471101313
2022-05-15,0-17,,,
2022-05-15,18-49,81.2627567910944,159,0.667343159841171
2022-05-15,50-64,68.0996950545825,154,0.567613077880166
2022-05-15,65+,55.6597245103869,90,0.435606471101313
2022-08-15,0-17,,,
2022-08-15,18-49,86.8211201575381,164,0.667343159841171
2022-08-15,50-64,68.5691761386798,158,0.567613077880166
2022-08-15,65+,65.2299584105038,128,0.435606471101313
2022-11-15,0-17,,,
2022-11-15,18-49,86.7619977760979,157,0.667343159841171
2022-11-15,50-64,78.6072242669189,169,0.567613077880166
2022-11-15,65+,69.0400426544212,111,0.435606471101313
