date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,66.7094757021525,1040,0.667094757021525
2022-02-15,50-64,54.338705161053,1114,0.54338705161053
2022-02-15,65+,40.4097245685168,568,0.404097245685168
2022-03-17,0-17,81.9,626,
2022-03-17,18-49,,,
2022-03-17,50-64,,,
2022-03-17,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,74.5876632158371,1170,0.667094757021525
2022-05-15,50-64,61.0907868879396,1275,0.54338705161053
2022-05-15,65+,45.8112990518302,636,0.404097245685168
2022-05-29,0-17,83.9,519,
2022-05-29,18-49,,,
2022-05-29,50-64,,,
2022-05-29,65+,,,
2022-07-28,0-17,88.4,688,
2022-07-28,18-49,,,
2022-07-28,50-64,,,
2022-07-28,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,82.884649126882,1214,0.667094757021525
2022-08-15,50-64,73.8625348164441,1450,0.54338705161053
2022-08-15,65+,61.1771492836198,785,0.404097245685168
2022-09-17,0-17,90.8,649,
2022-09-17,18-49,,,
2022-09-17,50-64,,,
2022-09-17,65+,,,
2022-10-28,0-17,88.3,344,
2022-10-28,18-49,,,
2022-10-28,50-64,,,
2022-10-28,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,87.5229372911521,1217,0.667094757021525
2022-11-15,50-64,79.024368310773,1524,0.54338705161053
2022-11-15,65+,69.2802972638863,886,0.404097245685168
