date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,54.8218050097666,1421,0.548218050097666
2022-02-15,50-64,48.5571727116043,1463,0.485571727116043
2022-02-15,65+,34.9534340144745,640,0.349534340144745
2022-04-07,0-17,72.9,676,
2022-04-07,18-49,,,
2022-04-07,50-64,,,
2022-04-07,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,62.6374237360994,1643,0.548218050097666
2022-05-15,50-64,57.2097429277894,1769,0.485571727116043
2022-05-15,65+,46.8330734853457,840,0.349534340144745
2022-05-29,0-17,71.4,657,
2022-05-29,18-49,,,
2022-05-29,50-64,,,
2022-05-29,65+,,,
2022-07-24,0-17,83.9,698,
2022-07-24,18-49,,,
2022-07-24,50-64,,,
2022-07-24,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,77.1629260316044,2059,0.548218050097666
2022-08-15,50-64,71.4806074798432,2301,0.485571727116043
2022-08-15,65+,65.7975859438063,1313,0.349534340144745
2022-09-17,0-17,85.2,669,
2022-09-17,18-49,,,
2022-09-17,50-64,,,
2022-09-17,65+,,,
2022-11-13,0-17,89.1,671,
2022-11-13,18-49,,,
2022-11-13,50-64,,,
2022-11-13,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,82.7215938184491,2149,0.548218050097666
2022-11-15,50-64,75.4767244819916,2498,0.485571727116043
2022-11-15,65+,73.762959358399,1501,0.349534340144745
