date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,57.0585065897566,213,0.570585065897566
2022-02-15,50-64,44.2179466052272,433,0.442179466052272
2022-02-15,65+,30.5373660111509,271,0.305373660111509
2022-04-01,0-17,78.5,680,
2022-04-01,18-49,,,
2022-04-01,50-64,,,
2022-04-01,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,72.5334693487317,278,0.570585065897566
2022-05-15,50-64,49.4752354208531,479,0.442179466052272
2022-05-15,65+,38.9823149914832,343,0.305373660111509
2022-05-28,0-17,79.5,463,
2022-05-28,18-49,,,
2022-05-28,50-64,,,
2022-05-28,65+,,,
2022-07-25,0-17,84.9,585,
2022-07-25,18-49,,,
2022-07-25,50-64,,,
2022-07-25,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,78.1822610122188,290,0.570585065897566
2022-08-15,50-64,60.4926315442657,587,0.442179466052272
2022-08-15,65+,57.4015372877376,445,0.305373660111509
2022-09-18,0-17,89.8,512,
2022-09-18,18-49,,,
2022-09-18,50-64,,,
2022-09-18,65+,,,
2022-11-09,0-17,91.8,651,
2022-11-09,18-49,,,
2022-11-09,50-64,,,
2022-11-09,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,87.55781629045,325,0.570585065897566
2022-11-15,50-64,67.0299002029111,608,0.442179466052272
2022-11-15,65+,61.9949660076754,532,0.305373660111509
