date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,46.2483951305596,137,0.462483951305596
2022-02-15,50-64,41.970983370667,235,0.41970983370667
2022-02-15,65+,32.5087186092379,91,0.325087186092379
2022-04-03,0-17,71.1,743,
2022-04-03,18-49,,,
2022-04-03,50-64,,,
2022-04-03,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,57.8172446420419,141,0.462483951305596
2022-05-15,50-64,56.159201692429,302,0.41970983370667
2022-05-15,65+,40.6900426015094,117,0.325087186092379
2022-05-29,0-17,79.5,671,
2022-05-29,18-49,,,
2022-05-29,50-64,,,
2022-05-29,65+,,,
2022-07-24,0-17,86.3,652,
2022-07-24,18-49,,,
2022-07-24,50-64,,,
2022-07-24,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,69.9525988737737,173,0.462483951305596
2022-08-15,50-64,70.341448521568,350,0.41970983370667
2022-08-15,65+,54.4438546749148,170,0.325087186092379
2022-09-18,0-17,91.1,656,
2022-09-18,18-49,,,
2022-09-18,50-64,,,
2022-09-18,65+,,,
2022-11-13,0-17,90.3,674,
2022-11-13,18-49,,,
2022-11-13,50-64,,,
2022-11-13,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,77.564882868722,183,0.462483951305596
2022-11-15,50-64,73.7494356482227,402,0.41970983370667
2022-11-15,65+,69.7241021001713,228,0.325087186092379
