date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,68.4768189498294,98,0.684768189498294
2022-02-15,50-64,58.4503915228941,179,0.584503915228941
2022-02-15,65+,41.2121785401713,107,0.412121785401713
2022-04-02,0-17,81.6,587,
2022-04-02,18-49,,,
2022-04-02,50-64,,,
2022-04-02,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,79.1673764890027,101,0.684768189498294
2022-05-15,50-64,67.0388736214021,182,0.584503915228941
2022-05-15,65+,48.7945317280572,132,0.412121785401713
2022-05-28,0-17,85.6,453,
2022-05-28,18-49,,,
2022-05-28,50-64,,,
2022-05-28,65+,,,
2022-07-23,0-17,89.8,450,
2022-07-23,18-49,,,
2022-07-23,50-64,,,
2022-07-23,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,83.1003704983937,110,0.684768189498294
2022-08-15,50-64,76.8331718147916,221,0.584503915228941
2022-08-15,65+,63.0953601916298,159,0.412121785401713
2022-09-18,0-17,87.3,362,
2022-09-18,18-49,,,
2022-09-18,50-64,,,
2022-09-18,65+,,,
2022-11-09,0-17,93.5,662,
2022-11-09,18-49,,,
2022-11-09,50-64,,,
2022-11-09,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,92.6484003701034,110,0.684768189498294
2022-11-15,50-64,79.4589504959789,221,0.584503915228941
2022-11-15,65+,74.9326060036558,189,0.412121785401713
