date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,63.4492005188535,2,0.634492005188535
2022-02-15,50-64,49.9681493673262,3,0.499681493673262
2022-02-15,65+,,0,0.382322340286544
2022-04-02,0-17,82.7,678,
2022-04-02,18-49,,,
2022-04-02,50-64,,,
2022-04-02,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,100,4,0.634492005188535
2022-05-15,50-64,54.8689309640504,4,0.499681493673262
2022-05-15,65+,,0,0.382322340286544
2022-05-28,0-17,86.2,681,
2022-05-28,18-49,,,
2022-05-28,50-64,,,
2022-05-28,65+,,,
2022-07-23,0-17,88.8,677,
2022-07-23,18-49,,,
2022-07-23,50-64,,,
2022-07-23,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,100,3,0.634492005188535
2022-08-15,50-64,83.6826792463148,6,0.499681493673262
2022-08-15,65+,24.7749042814925,1,0.382322340286544
2022-09-17,0-17,92.3,694,
2022-09-17,18-49,,,
2022-09-17,50-64,,,
2022-09-17,65+,,,
2022-11-12,0-17,94.2,674,
2022-11-12,18-49,,,
2022-11-12,50-64,,,
2022-11-12,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,100,2,0.634492005188535
2022-11-15,50-64,93.3045918669705,7,0.499681493673262
2022-11-15,65+,22.1630618644324,1,0.382322340286544
