date,age,rate,n,infected
2022-02-15,0-17,,,
2022-02-15,18-49,58.9283068354466,232,0.589283068354466
2022-02-15,50-64,50.26691441953,336,0.5026691441953
2022-02-15,65+,37.5547118247736,150,0.375547118247736
2022-04-02,0-17,82.5,672,
2022-04-02,18-49,,,
2022-04-02,50-64,,,
2022-04-02,65+,,,
2022-05-15,0-17,,,
2022-05-15,18-49,72.2169980613714,270,0.589283068354466
2022-05-15,50-64,51.3228368598443,365,0.5026691441953
2022-05-15,65+,43.8406917819522,181,0.375547118247736
2022-05-28,0-17,83.1,651,
2022-05-28,18-49,,,
2022-05-28,50-64,,,
2022-05-28,65+,,,
2022-07-23,0-17,85.7,698,
2022-07-23,18-49,,,
2022-07-23,50-64,,,
2022-07-23,65+,,,
2022-08-15,0-17,,,
2022-08-15,18-49,80.1519169646643,283,0.589283068354466
2022-08-15,50-64,70.3051645887001,414,0.5026691441953
2022-08-15,65+,60.8564050683894,218,0.375547118247736
2022-09-17,0-17,91.1,649,
2022-09-17,18-49,,,
2022-09-17,50-64,,,
2022-09-17,65+,,,
2022-11-11,0-17,94.6,635,
2022-11-11,18-49,,,
2022-11-11,50-64,,,
2022-11-11,65+,,,
2022-11-15,0-17,,,
2022-11-15,18-49,85.7713272058753,266,0.589283068354466
2022-11-15,50-64,75.1835406779594,410,0.5026691441953
2022-11-15,65+,68.8900369253199,229,0.375547118247736
