Indicator,Geographic Area,Geographic Identifier,Race,Sex,Age,Time Period,n (Unweighted),Estimate % (weighted),2.5%,97.5%
Overall,Overall,USA,Overall,Overall,Overall,2022 Quarter 1,75687,100,,
Overall,Overall,USA,Overall,Female,Overall,2022 Quarter 1,37247,100,,
Overall,Overall,USA,Overall,Male,Overall,2022 Quarter 1,38440,100,,
Overall,Overall,USA,Overall,Overall,16 to 29,2022 Quarter 1,3867,100,,
Overall,Overall,USA,Overall,Overall,30 to 49,2022 Quarter 1,17652,100,,
Overall,Overall,USA,Overall,Overall,50 to 64,2022 Quarter 1,29857,100,,
Overall,Overall,USA,Overall,Overall,65 and over,2022 Quarter 1,24311,100,,
Overall,Overall,USA,Hispanic,Overall,Overall,2022 Quarter 1,5491,100,,
Overall,Overall,USA,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,1861,100,,
Overall,Overall,USA,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,1054,100,,
Overall,Overall,USA,Non-Hispanic White,Overall,Overall,2022 Quarter 1,66135,100,,
Overall,Overall,USA,Other,Overall,Overall,2022 Quarter 1,1146,100,,
Past infection with or without vaccination,Overall,USA,Overall,Overall,Overall,2022 Quarter 1,34616,48.76,46.31,51.21
Past infection with or without vaccination,Overall,USA,Overall,Female,Overall,2022 Quarter 1,16827,47.14,44.5,49.8
Past infection with or without vaccination,Overall,USA,Overall,Male,Overall,2022 Quarter 1,17789,50.41,47,53.82
Past infection with or without vaccination,Overall,USA,Overall,Overall,16 to 29,2022 Quarter 1,2117,60.69,54.86,66.23
Past infection with or without vaccination,Overall,USA,Overall,Overall,30 to 49,2022 Quarter 1,10150,56.03,53.66,58.37
Past infection with or without vaccination,Overall,USA,Overall,Overall,50 to 64,2022 Quarter 1,14715,48.14,43.15,53.16
Past infection with or without vaccination,Overall,USA,Overall,Overall,65 and over,2022 Quarter 1,7634,25.98,22.66,29.61
Past infection with or without vaccination,Overall,USA,Hispanic,Overall,Overall,2022 Quarter 1,2730,52.97,50.47,55.45
Past infection with or without vaccination,Overall,USA,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,558,34.34,29.72,39.28
Past infection with or without vaccination,Overall,USA,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,494,51.87,46.14,57.56
Past infection with or without vaccination,Overall,USA,Non-Hispanic White,Overall,Overall,2022 Quarter 1,30328,48.93,45.37,52.51
Past infection with or without vaccination,Overall,USA,Other,Overall,Overall,2022 Quarter 1,506,42.11,36.14,48.33
Presumed vaccination without infection,Overall,USA,Overall,Overall,Overall,2022 Quarter 1,36322,43.44,41.24,45.67
Presumed vaccination without infection,Overall,USA,Overall,Female,Overall,2022 Quarter 1,18243,44.09,41.08,47.15
Presumed vaccination without infection,Overall,USA,Overall,Male,Overall,2022 Quarter 1,18079,42.78,39.38,46.25
Presumed vaccination without infection,Overall,USA,Overall,Overall,16 to 29,2022 Quarter 1,1572,33.11,28.41,38.17
Presumed vaccination without infection,Overall,USA,Overall,Overall,30 to 49,2022 Quarter 1,6399,36.95,34.38,39.6
Presumed vaccination without infection,Overall,USA,Overall,Overall,50 to 64,2022 Quarter 1,12991,44.76,39.78,49.85
Presumed vaccination without infection,Overall,USA,Overall,Overall,65 and over,2022 Quarter 1,15360,62.47,54.29,70
Presumed vaccination without infection,Overall,USA,Hispanic,Overall,Overall,2022 Quarter 1,2510,41.62,39.08,44.21
Presumed vaccination without infection,Overall,USA,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,1254,61.42,56.68,65.95
Presumed vaccination without infection,Overall,USA,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,529,43.62,38.41,48.96
Presumed vaccination without infection,Overall,USA,Non-Hispanic White,Overall,Overall,2022 Quarter 1,31456,42.15,38.92,45.44
Presumed vaccination without infection,Overall,USA,Other,Overall,Overall,2022 Quarter 1,573,48.1,41.83,54.43
Neither past infection nor vaccination,Overall,USA,Overall,Overall,Overall,2022 Quarter 1,4681,7.69,5.69,10.33
Neither past infection nor vaccination,Overall,USA,Overall,Female,Overall,2022 Quarter 1,2146,8.62,5.21,13.95
Neither past infection nor vaccination,Overall,USA,Overall,Male,Overall,2022 Quarter 1,2535,6.74,6,7.56
Neither past infection nor vaccination,Overall,USA,Overall,Overall,16 to 29,2022 Quarter 1,175,6.16,4.72,8
Neither past infection nor vaccination,Overall,USA,Overall,Overall,30 to 49,2022 Quarter 1,1087,6.89,5.91,8.02
Neither past infection nor vaccination,Overall,USA,Overall,Overall,50 to 64,2022 Quarter 1,2128,7.01,6.08,8.08
Neither past infection nor vaccination,Overall,USA,Overall,Overall,65 and over,2022 Quarter 1,1291,11.41,4.41,26.45
Neither past infection nor vaccination,Overall,USA,Hispanic,Overall,Overall,2022 Quarter 1,247,5.28,4.03,6.9
Neither past infection nor vaccination,Overall,USA,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,47,4.2,2.74,6.39
Neither past infection nor vaccination,Overall,USA,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,30,4.42,2.34,8.21
Overall,Overall,USA,Overall,Overall,Overall,2022 Quarter 4,68203,100,,
Neither past infection nor vaccination,Overall,USA,Non-Hispanic White,Overall,Overall,2022 Quarter 1,4291,8.81,5.96,12.85
Neither past infection nor vaccination,Overall,USA,Other,Overall,Overall,2022 Quarter 1,66,9.77,6.04,15.41
Indeterminate,Overall,USA,Overall,Overall,Overall,2022 Quarter 1,68,0.1,0.07,0.16
Indeterminate,Overall,USA,Overall,Female,Overall,2022 Quarter 1,31,0.14,0.08,0.25
Indeterminate,Overall,USA,Overall,Male,Overall,2022 Quarter 1,37,0.07,0.04,0.11
Indeterminate,Overall,USA,Overall,Overall,16 to 29,2022 Quarter 1,3,0.04,0.01,0.19
Indeterminate,Overall,USA,Overall,Overall,30 to 49,2022 Quarter 1,16,0.13,0.06,0.26
Indeterminate,Overall,USA,Overall,Overall,50 to 64,2022 Quarter 1,23,0.09,0.05,0.17
Indeterminate,Overall,USA,Overall,Overall,65 and over,2022 Quarter 1,26,0.14,0.08,0.23
Indeterminate,Overall,USA,Hispanic,Overall,Overall,2022 Quarter 1,4,0.13,0.05,0.34
Indeterminate,Overall,USA,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,2,0.04,0.01,0.18
Indeterminate,Overall,USA,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,1,0.09,0.02,0.53
Indeterminate,Overall,USA,Non-Hispanic White,Overall,Overall,2022 Quarter 1,60,0.11,0.07,0.18
Indeterminate,Overall,USA,Other,Overall,Overall,2022 Quarter 1,1,0.01,0,0.07
Combined seroprevalence,Overall,USA,Overall,Overall,Overall,2022 Quarter 1,70938,92.2,89.57,94.21
Combined seroprevalence,Overall,USA,Overall,Female,Overall,2022 Quarter 1,35070,91.24,85.94,94.66
Combined seroprevalence,Overall,USA,Overall,Male,Overall,2022 Quarter 1,35868,93.2,92.37,93.94
Combined seroprevalence,Overall,USA,Overall,Overall,16 to 29,2022 Quarter 1,3689,93.8,91.96,95.24
Combined seroprevalence,Overall,USA,Overall,Overall,30 to 49,2022 Quarter 1,16549,92.99,91.85,93.97
Combined seroprevalence,Overall,USA,Overall,Overall,50 to 64,2022 Quarter 1,27706,92.9,91.83,93.83
Combined seroprevalence,Overall,USA,Overall,Overall,65 and over,2022 Quarter 1,22994,88.46,73.51,95.49
Combined seroprevalence,Overall,USA,Hispanic,Overall,Overall,2022 Quarter 1,5240,94.59,92.96,95.86
Combined seroprevalence,Overall,USA,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,1812,95.76,93.58,97.22
Combined seroprevalence,Overall,USA,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,1023,95.49,91.71,97.59
Combined seroprevalence,Overall,USA,Non-Hispanic White,Overall,Overall,2022 Quarter 1,61784,91.08,87.05,93.94
Combined seroprevalence,Overall,USA,Other,Overall,Overall,2022 Quarter 1,1079,90.22,84.58,93.94
Overall,Northeast,1,Overall,Overall,Overall,2022 Quarter 1,8761,100,,
Overall,Midwest,2,Overall,Overall,Overall,2022 Quarter 1,19701,100,,
Overall,South,3,Overall,Overall,Overall,2022 Quarter 1,13837,100,,
Overall,West,4,Overall,Overall,Overall,2022 Quarter 1,33388,100,,
Overall,Northeast,1,Overall,Female,Overall,2022 Quarter 1,4561,100,,
Overall,Northeast,1,Overall,Male,Overall,2022 Quarter 1,4200,100,,
Overall,Midwest,2,Overall,Female,Overall,2022 Quarter 1,10470,100,,
Overall,Midwest,2,Overall,Male,Overall,2022 Quarter 1,9231,100,,
Overall,South,3,Overall,Female,Overall,2022 Quarter 1,6330,100,,
Overall,South,3,Overall,Male,Overall,2022 Quarter 1,7507,100,,
Overall,West,4,Overall,Female,Overall,2022 Quarter 1,15886,100,,
Overall,West,4,Overall,Male,Overall,2022 Quarter 1,17502,100,,
Overall,Northeast,1,Overall,Overall,16 to 29,2022 Quarter 1,256,100,,
Overall,Northeast,1,Overall,Overall,30 to 49,2022 Quarter 1,1588,100,,
Overall,Northeast,1,Overall,Overall,50 to 64,2022 Quarter 1,3753,100,,
Overall,Northeast,1,Overall,Overall,65 and over,2022 Quarter 1,3164,100,,
Overall,Midwest,2,Overall,Overall,16 to 29,2022 Quarter 1,760,100,,
Overall,Midwest,2,Overall,Overall,30 to 49,2022 Quarter 1,4341,100,,
Overall,Midwest,2,Overall,Overall,50 to 64,2022 Quarter 1,7830,100,,
Overall,Midwest,2,Overall,Overall,65 and over,2022 Quarter 1,6770,100,,
Overall,South,3,Overall,Overall,16 to 29,2022 Quarter 1,559,100,,
Overall,South,3,Overall,Overall,30 to 49,2022 Quarter 1,3185,100,,
Overall,South,3,Overall,Overall,50 to 64,2022 Quarter 1,5641,100,,
Overall,South,3,Overall,Overall,65 and over,2022 Quarter 1,4452,100,,
Overall,West,4,Overall,Overall,16 to 29,2022 Quarter 1,2292,100,,
Overall,West,4,Overall,Overall,30 to 49,2022 Quarter 1,8538,100,,
Overall,West,4,Overall,Overall,50 to 64,2022 Quarter 1,12633,100,,
Overall,West,4,Overall,Overall,65 and over,2022 Quarter 1,9925,100,,
Overall,Northeast,1,Hispanic,Overall,Overall,2022 Quarter 1,120,100,,
Overall,Northeast,1,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,73,100,,
Overall,Northeast,1,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,66,100,,
Overall,Northeast,1,Non-Hispanic White,Overall,Overall,2022 Quarter 1,8447,100,,
Overall,Northeast,1,Other,Overall,Overall,2022 Quarter 1,55,100,,
Overall,Midwest,2,Hispanic,Overall,Overall,2022 Quarter 1,227,100,,
Overall,Midwest,2,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,95,100,,
Overall,Midwest,2,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,91,100,,
Overall,Midwest,2,Non-Hispanic White,Overall,Overall,2022 Quarter 1,19189,100,,
Overall,Midwest,2,Other,Overall,Overall,2022 Quarter 1,99,100,,
Overall,South,3,Hispanic,Overall,Overall,2022 Quarter 1,1041,100,,
Overall,South,3,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,149,100,,
Overall,South,3,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,489,100,,
Overall,South,3,Non-Hispanic White,Overall,Overall,2022 Quarter 1,12025,100,,
Overall,South,3,Other,Overall,Overall,2022 Quarter 1,133,100,,
Overall,West,4,Hispanic,Overall,Overall,2022 Quarter 1,4103,100,,
Overall,West,4,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,1544,100,,
Overall,West,4,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,408,100,,
Overall,West,4,Non-Hispanic White,Overall,Overall,2022 Quarter 1,26474,100,,
Overall,West,4,Other,Overall,Overall,2022 Quarter 1,859,100,,
Past infection with or without vaccination,Northeast,1,Overall,Overall,Overall,2022 Quarter 1,3209,42.2,39.53,44.91
Past infection with or without vaccination,Midwest,2,Overall,Overall,Overall,2022 Quarter 1,10726,55.1,53.23,56.95
Past infection with or without vaccination,South,3,Overall,Overall,Overall,2022 Quarter 1,6575,50.94,44.68,57.16
Past infection with or without vaccination,West,4,Overall,Overall,Overall,2022 Quarter 1,14106,44.32,43.27,45.37
Past infection with or without vaccination,Northeast,1,Overall,Female,Overall,2022 Quarter 1,1684,43.21,39.22,47.29
Past infection with or without vaccination,Northeast,1,Overall,Male,Overall,2022 Quarter 1,1525,41.11,37.54,44.78
Past infection with or without vaccination,Midwest,2,Overall,Female,Overall,2022 Quarter 1,5748,56.29,53.53,59.02
Past infection with or without vaccination,Midwest,2,Overall,Male,Overall,2022 Quarter 1,4978,53.85,51.31,56.37
Past infection with or without vaccination,South,3,Overall,Female,Overall,2022 Quarter 1,2922,45.8,39.44,52.3
Past infection with or without vaccination,South,3,Overall,Male,Overall,2022 Quarter 1,3653,56.06,47.46,64.31
Past infection with or without vaccination,West,4,Overall,Female,Overall,2022 Quarter 1,6473,43.96,42.38,45.54
Past infection with or without vaccination,West,4,Overall,Male,Overall,2022 Quarter 1,7633,44.69,43.21,46.17
Past infection with or without vaccination,Northeast,1,Overall,Overall,16 to 29,2022 Quarter 1,127,53.76,44.76,62.51
Past infection with or without vaccination,Northeast,1,Overall,Overall,30 to 49,2022 Quarter 1,775,46.24,41.32,51.24
Past infection with or without vaccination,Northeast,1,Overall,Overall,50 to 64,2022 Quarter 1,1567,46.05,39.68,52.55
Past infection with or without vaccination,Northeast,1,Overall,Overall,65 and over,2022 Quarter 1,740,21.8,19.26,24.58
