vaccination,intro_time,immune_escape,vaccine_efficacy,r0_mult,id
0,sample,100,50,1.0,b0
100,sample,100,50,1.0,b1
0,none,100,50,1.0,b2
100,none,100,50,1.0,b3
0,sample,100,50,0.9,s0
100,sample,100,50,0.9,s1
0,none,100,50,0.9,s2
100,none,100,50,0.9,s3
0,sample,100,50,0.8,s4
100,sample,100,50,0.8,s5
0,none,100,50,0.8,s6
100,none,100,50,0.8,s7
0,sample,100,50,0.7,s8
100,sample,100,50,0.7,s9
0,none,100,50,0.7,s10
100,none,100,50,0.7,s11
0,sample,100,50,0.6,s12
100,sample,100,50,0.6,s13
0,none,100,50,0.6,s14
100,none,100,50,0.6,s15
0,sample,100,50,0.5,s16
100,sample,100,50,0.5,s17
0,none,100,50,0.5,s18
100,none,100,50,0.5,s19
